# Ucuzabak kategori ağacı (export: 2026-03-31T22:36:03.993Z)
# Toplam kayıt: 690
# Satır formatı: [derinlik] Ad | slug: ... | id: ... | aktif: evet/hayır | sortOrder: ...

■ Elektronik | slug: elektronik | id: 691 | aktif: evet | sortOrder: 10
    └ Split Klima | slug: beyaz-esya-klima-split-klima | id: 1196 | aktif: evet | sortOrder: 10
    └ Mobil Klima | slug: beyaz-esya-klima-mobil-klima | id: 1197 | aktif: evet | sortOrder: 20
  └ Ankastre | slug: beyaz-esya-ankastre | id: 1198 | aktif: evet | sortOrder: 100
    └ Ankastre Set | slug: beyaz-esya-ankastre-ankastre-set | id: 1199 | aktif: evet | sortOrder: 10
    └ Ankastre Ocak | slug: beyaz-esya-ankastre-ankastre-ocak | id: 1200 | aktif: evet | sortOrder: 20
  └ Isıtıcılar | slug: beyaz-esya-isiticilar | id: 1201 | aktif: evet | sortOrder: 110
    └ Fanlı Isıtıcı | slug: beyaz-esya-isiticilar-fanli-isitici | id: 1202 | aktif: evet | sortOrder: 10
    └ Yağlı Radyatör | slug: beyaz-esya-isiticilar-yagli-radyator | id: 1203 | aktif: evet | sortOrder: 20
  └ Su Isıtıcı Sistemleri | slug: beyaz-esya-su-isitici-sistemleri | id: 1204 | aktif: evet | sortOrder: 120
    └ Şofben | slug: beyaz-esya-su-isitici-sistemleri-sofben | id: 1205 | aktif: evet | sortOrder: 10
    └ Termosifon | slug: beyaz-esya-su-isitici-sistemleri-termosifon | id: 1206 | aktif: evet | sortOrder: 20
■ Ev Yaşam | slug: ev-yasam | id: 693 | aktif: evet | sortOrder: 30
  └ Elektrikli Süpürge | slug: elektrikli-supurge | id: 713 | aktif: evet | sortOrder: 10
    └ Süpürge Filtresi & Torbaları | slug: elektrikli-supurge-supurge-filtresi-ve-torbalari | id: 986 | aktif: evet | sortOrder: 10
    └ Aksesuar Başlıklar | slug: elektrikli-supurge-aksesuar-basliklar | id: 987 | aktif: evet | sortOrder: 20
  └ Kahve Makinesi | slug: kahve-makinesi | id: 714 | aktif: evet | sortOrder: 20
    └ Kahve Makinesi Temizliği | slug: kahve-makinesi-kahve-makinesi-temizligi | id: 988 | aktif: evet | sortOrder: 10
    └ Kahve Öğütücü Aksesuarları | slug: kahve-makinesi-kahve-ogutucu-aksesuarlari | id: 989 | aktif: evet | sortOrder: 20
  └ Tencere & Tava | slug: tencere-tava | id: 715 | aktif: evet | sortOrder: 30
    └ Tencere Setleri | slug: tencere-tava-tencere-setleri | id: 990 | aktif: evet | sortOrder: 10
    └ Tava & Kapaklar | slug: tencere-tava-tava-ve-kapaklar | id: 991 | aktif: evet | sortOrder: 20
  └ Aydınlatma | slug: aydinlatma | id: 716 | aktif: evet | sortOrder: 40
    └ Avize & Sarkıt | slug: aydinlatma-avize-ve-sarkit | id: 992 | aktif: evet | sortOrder: 10
    └ Ampul & LED Aydınlatma | slug: aydinlatma-ampul-ve-led-aydinlatma | id: 993 | aktif: evet | sortOrder: 20
  └ Ev Tekstili | slug: ev-tekstili | id: 717 | aktif: evet | sortOrder: 50
    └ Nevresim Setleri | slug: ev-tekstili-nevresim-setleri | id: 994 | aktif: evet | sortOrder: 10
    └ Yastık & Yorgan | slug: ev-tekstili-yastik-ve-yorgan | id: 995 | aktif: evet | sortOrder: 20
  └ Isıtıcılar | slug: isiticilar | id: 718 | aktif: evet | sortOrder: 60
